 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 ARABA/ÁLAVA; 2   ; 253   ; 14   ; 109   ; 66   ; 11   ; 25   ; 1   ; 5   ; 207   ; 237   ; 48   ; 24   ; 19   ; 257   ; 68   ; 24   ; 27   ; 1   ; 115   ; 144   ; 113   ; 21   ; 18   ; 368   ; 25   ; 10   
 ALBACETE; 6   ; 56   ; 75   ; 53   ; 2   ; 3   ; 1   ; 47   ; 78   ; 13   ; 171   ; 16   ; 10   ; 5   ; 241   ; 16   ; 102   ; 20   ; 570   ; 227   ; 26   ; 208   ; 31   ; 27   ; 394   ; 244   ; 15   
 ALACANT/ALICANTE; 29   ; 485   ; 841   ; 7,313   ; 102   ; 839   ; 351   ; 1,023   ; 1,287   ; 217   ; 649   ; 196   ; 208   ; 11,021   ; 2,581   ; 4,956   ; 1,001   ; 517   ; 2,384   ; 1,099   ; 573   ; 1,758   ; 1,533   ; 3,887   ; 756   ; 24,490   ; 1,788   
 ALMERÍA; 34   ; 7   ; 1   ; 134   ; 2   ; 25   ; 24   ; 45   ; 14   ; 29   ; 48   ; 20   ; 245   ; 553   ; 396   ; 367   ; 243   ; 46   ; 3,786   ; 185   ; 92   ; 1,730   ; 434   ; 42   ; 445   ; 1,451   ; 24   
 ÁVILA; -   ; 14   ; 19   ; 119   ; 6   ; 105   ; 10   ; 27   ; 6   ; 16   ; 25   ; 4   ; 51   ; 109   ; 66   ; 3   ; 24   ; 5   ; 3   ; 8   ; 19   ; 28   ; 63   ; 87   ; 17   ; 178   ; 29   
 BADAJOZ; -   ; 76   ; 131   ; 2,037   ; 212   ; 50   ; 43   ; 154   ; 15   ; 24   ; 136   ; 7   ; 124   ; 279   ; 104   ; 205   ; 249   ; 185   ; 144   ; 328   ; 218   ; 77   ; 67   ; 58   ; 134   ; 22   ; 58   
 ILLES BALEARS; 304   ; 97   ; 447   ; 339   ; 59   ; 57   ; 147   ; 576   ; 708   ; 298   ; 362   ; 231   ; 191   ; 412   ; 452   ; 523   ; 762   ; 273   ; 489   ; 709   ; 390   ; 950   ; 903   ; 711   ; 2,216   ; 642   ; 534   
 BARCELONA; 1,528   ; 4,143   ; 1,917   ; 358   ; 291   ; 6,969   ; 2,103   ; 560   ; 4,175   ; 1,067   ; 354   ; 3,154   ; 1,894   ; 571   ; 530   ; 462   ; 1,066   ; 1,449   ; 142   ; 460   ; 1,116   ; 321   ; 1,194   ; 174   ; 3,657   ; 2,717   ; 4,426   
 BURGOS; 2   ; 160   ; 39   ; 210   ; 302   ; 227   ; 12   ; 154   ; 24   ; 282   ; 52   ; 10   ; 36   ; 116   ; 104   ; 37   ; 134   ; 52   ; 23   ; 119   ; 18   ; 1,428   ; 121   ; 38   ; 113   ; 851   ; 172   
 CÁCERES; 1   ; 35   ; 29   ; 262   ; 50   ; 9   ; 16   ; 34   ; 1   ; 50   ; 65   ; 7   ; 112   ; 30   ; 29   ; 14   ; 654   ; 44   ; 8   ; 39   ; 43   ; 7   ; 21   ; 91   ; 68   ; 205   ; 58   
 CÁDIZ; 13   ; 284   ; 1,103   ; 353   ; 36   ; 160   ; 297   ; 86   ; 114   ; 406   ; 114   ; 48   ; 126   ; 769   ; 3,883   ; 1,181   ; 2,778   ; 1,853   ; 334   ; 283   ; 234   ; 1,459   ; 1,733   ; 2,636   ; 412   ; 30   ; 103   
 CASTELLÓ/CASTELLÓN; 197   ; 15   ; 189   ; 84   ; 12   ; 140   ; 1,744   ; 988   ; 148   ; 615   ; 1,536   ; 241   ; 65   ; 413   ; 684   ; 5,039   ; 549   ; 1,143   ; 152   ; 91   ; 95   ; 1,814   ; 104   ; 586   ; 2,375   ; 185   ; 4,299   
 CIUDAD REAL; 20   ; 18   ; 42   ; 74   ; 15   ; 27   ; 13   ; 97   ; 9   ; 12   ; 157   ; -   ; 260   ; 1,196   ; 161   ; 310   ; 162   ; 77   ; 43   ; 149   ; 35   ; 24   ; 8   ; -   ; 132   ; 213   ; 56   
 CÓRDOBA; 8   ; 216   ; 155   ; 930   ; 182   ; 415   ; 73   ; 168   ; 49   ; 49   ; 128   ; 748   ; 65   ; 667   ; 435   ; 575   ; 2,865   ; 527   ; 217   ; 390   ; 93   ; 177   ; 10   ; 84   ; 398   ; 240   ; 259   
 A CORUÑA; 163   ; 85   ; 27   ; 11   ; 14   ; 631   ; 260   ; 340   ; 69   ; 30   ; 65   ; 79   ; 1,182   ; 43   ; 66   ; 149   ; 139   ; 72   ; 33   ; 347   ; 212   ; 83   ; 1,077   ; 84   ; 410   ; 420   ; 246   
 CUENCA; 1   ; 24   ; 3   ; 29   ; 8   ; 30   ; 6   ; 9   ; 18   ; 32   ; 175   ; 4   ; 42   ; 3   ; 22   ; 198   ; 459   ; 10   ; 2   ; 64   ; 104   ; 32   ; 5   ; 278   ; 116   ; 207   ; 41   
 GIRONA; 1,695   ; 69   ; 134   ; 115   ; 22   ; 246   ; 54   ; 359   ; 376   ; 307   ; 138   ; 5,021   ; 1,087   ; 86   ; 533   ; 69   ; 237   ; 1,004   ; 169   ; 163   ; 2,472   ; 661   ; 299   ; 1,054   ; 927   ; 1,550   ; 1,906   
 GRANADA; 2   ; 588   ; 56   ; 61   ; 22   ; 32   ; 8   ; 144   ; 26   ; 143   ; 137   ; 40   ; 95   ; 2,823   ; 210   ; 1,097   ; 644   ; 322   ; 243   ; 457   ; 785   ; 1,132   ; 41   ; 53   ; 1,007   ; 1,545   ; 140   
 GUADALAJARA; -   ; 254   ; 11   ; 30   ; 24   ; 29   ; 21   ; 29   ; 12   ; 97   ; 105   ; 80   ; 24   ; 164   ; 97   ; 24   ; 201   ; 328   ; 7   ; 10   ; 72   ; 83   ; 4   ; 46   ; 153   ; 311   ; 278   
