 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 2   ; -   ; 6   ; 6   ; -   ; 2,745   ; 7,123   ; 304   ; 31   ; 482   ; 82   ; 37   ; 19   ; 5,552   ; 7   ; 446   ; 376   
 ALBACETE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; -   ; 1   ; 1   ; -   ; 206   ; 49   ; 229   ; 1,757   ; 15   ; -   ; -   ; -   ; 3   ; -   ; -   ; -   
 ALACANT/ALICANTE; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; 2   ; -   ; 785   ; 2   ; 56   ; -   ; 9   ; 3   ; 37,803   ; 5   ; -   ; -   ; -   ; -   ; 246   ; -   ; 796   ; 9   ; 445   ; 1,618   
 ALMERÍA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; 1   ; -   ; 1   ; -   ; -   ; -   ; 525   ; -   ; 2   ; 728   ; 335   ; 1,716   ; -   ; 529   ; 250   ; 938   ; 1   
 ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; 15   ; 100   ; -   ; -   ; 59   ; 15   ; 191   ; -   ; 44   ; -   ; 973   ; 118   
 BADAJOZ; -   ; -   ; -   ; 921   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; 26   ; 2   ; 38   ; 2,761   ; -   ; -   ; -   ; 3   ; 9   ; 221   ; 6   
 ILLES BALEARS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7,220   ; -   ; 1   ; 59   ; 2   ; 6   ; 9,514   ; 1,646   ; 8,964   ; 715   ; 14   ; 153   ; 339   ; 157   ; 281   ; 3   ; 1,752   ; 141   ; 869   ; 1,585   
 BARCELONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4   ; -   ; 3,227   ; 15   ; 420   ; 93   ; 2   ; 3   ; 53,314   ; 63   ; 4   ; 442   ; 467   ; 16,364   ; 524   ; 309   ; 611   ; 68   ; 1,573   ; 25,171   
 BURGOS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12   ; -   ; -   ; 1,795   ; 2,004   ; 162   ; 32   ; 467   ; 275   ; 66   ; 87   ; 4,701   ; 39   ; 1,753   ; 880   
 CÁCERES; -   ; -   ; -   ; 52   ; -   ; -   ; -   ; -   ; -   ; -   ; 32   ; -   ; 2   ; -   ; 5   ; -   ; 5   ; -   ; -   ; 725   ; 38   ; 15   ; -   ; 113   ; -   ; 239   ; 496   
 CÁDIZ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 35   ; 660   ; 203   ; 518   ; -   ; 2   ; 1,084   ; 10   ; 3   ; 12   ; 22   ; 122   ; 31   ; 10   
 CASTELLÓ/CASTELLÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; 1   ; -   ; -   ; 1   ; 278   ; -   ; 208   ; 1,047   ; 1   ; 7   ; 69   ; 4   ; 21   ; 7   ; 317   ; -   ; 471   ; 11   
 CIUDAD REAL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; 123   ; -   ; 1   ; 71   ; -   ; -   ; -   ; -   ; 74   ; -   ; 1   
 CÓRDOBA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 57   ; 2   ; -   ; 1   ; 35   ; -   ; -   ; 163   ; -   ; -   ; -   ; -   ; -   ; -   ; 5   
 A CORUÑA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,264   ; -   ; 2   ; 25,909   ; 5,766   ; 134   ; 537   ; 8,433   ; 2,275   ; 221   ; 329   ; 12,672   ; 396   ; 5,143   ; 162   
