ID;CLASE DE RIESGO;Nº de Expedientes;Indemnizaciones;%;Costes Medios
35 ;Viviendas y Comunidades de Viviendas; 1,419   ; 9,956,054   ; 42.8   ; 7,016   
35 ;Oficinas; 19   ; 291,763   ; 1.3   ; 15,356   
35 ;Comercios ; 357   ; 5,696,790   ; 24.5   ; 15,957   
35 ;Industriales; 24   ; 476,218   ; 2.0   ; 19,842   
35 ;Vehículos Automóviles; 1,083   ; 6,169,607   ; 26.6   ; 5,697   
35 ;Obras Civiles; 1   ; 643,423   ; 2.8   ; 643,423   
36 ;Viviendas y Comunidades de Viviendas; 5,446   ; 14,594,350   ; 36.4   ; 2,680   
36 ;Oficinas; 40   ; 324,478   ; 0.8   ; 8,112   
36 ;Comercios ; 906   ; 9,382,265   ; 23.4   ; 10,356   
36 ;Industriales; 379   ; 9,622,981   ; 24.0   ; 25,390   
36 ;Vehículos Automóviles; 2,023   ; 6,137,489   ; 15.3   ; 3,034   
36 ;Obras Civiles; 1   ; 51,178   ; 0.1   ; 51,178   
37 ;Daños personales; 1   ; 6,647   ; 0.0   ; 6,647   
37 ;Viviendas y Comunidades de Viviendas; 3,309   ; 28,403,050   ; 52.6   ; 8,584   
37 ;Oficinas; 52   ; 709,564   ; 1.3   ; 13,645   
37 ;Comercios ; 705   ; 15,075,593   ; 28.0   ; 21,384   
37 ;Industriales; 123   ; 3,169,631   ; 5.9   ; 25,769   
37 ;Vehículos Automóviles; 1,190   ; 6,030,978   ; 11.2   ; 5,068   
37 ;Obras Civiles; 3   ; 514,544   ; 1.0   ; 171,515   
38 ;Viviendas y Comunidades de Viviendas; 10,504   ; 23,735,015   ; 23.6   ; 2,260   
38 ;Oficinas; 26   ; 400,183   ; 0.4   ; 15,392   
38 ;Comercios ; 1,892   ; 36,404,314   ; 36.1   ; 19,241   
38 ;Industriales; 139   ; 33,485,583   ; 33.2   ; 240,903   
38 ;Vehículos Automóviles; 2,916   ; 3,902,345   ; 3.9   ; 1,338   
38 ;Obras Civiles; 5   ; 2,806,041   ; 2.8   ; 561,208   
39 ;Viviendas y Comunidades de Viviendas; 1,774   ; 7,367,209   ; 10.8   ; 4,153   
39 ;Oficinas; 29   ; 229,734   ; 0.3   ; 7,922   
39 ;Comercios ; 664   ; 14,549,048   ; 21.3   ; 21,911   
39 ;Industriales; 284   ; 37,635,770   ; 55.1   ; 132,520   
39 ;Vehículos Automóviles; 1,123   ; 4,842,599   ; 7.1   ; 4,312   
39 ;Obras Civiles; 1   ; 3,626,887   ; 5.4   ; 3,626,887   
40 ;Viviendas y Comunidades de Viviendas; 1,447   ; 9,120,917   ; 26.4   ; 6,303   
40 ;Oficinas; 3   ; 31,730   ; 0.1   ; 10,577   
40 ;Comercios ; 864   ; 16,523,924   ; 48.0   ; 19,125   
40 ;Industriales; 3   ; 146,167   ; 0.4   ; 48,722   
40 ;Vehículos Automóviles; 1,746   ; 8,189,450   ; 23.8   ; 4,690   
40 ;Obras Civiles; 3   ; 442,068   ; 1.3   ; 147,356   
41 ;Daños personales; 16   ; 630,853   ; 1.2   ; 39,428   
41 ;Viviendas y Comunidades de Viviendas; 2   ; 11,937   ; 0.0   ; 5,969   
41 ;Oficinas; 1   ; 3,456   ; 0.0   ; 3,456   
41 ;Comercios ; 11   ; 36,018,153   ; 71.2   ; 3,274,378   
41 ;Industriales; -   ; -   ; -    ; -   
41 ;Vehículos Automóviles; 869   ; 13,973,317   ; 27.6   ; 16,080   
41 ;Obras Civiles; -     ; -   ; -    ; -   
42 ;Viviendas y Comunidades de Viviendas; 2,550   ; 12,935,545   ; 36.6   ; 5,073   
42 ;Oficinas; 23   ; 547,353   ; 1.5   ; 23,798   
42 ;Comercios ; 631   ; 6,612,725   ; 18.7   ; 10,480   
42 ;Industriales; 144   ; 8,886,136   ; 25.2   ; 61,709   
42 ;Vehículos Automóviles; 1,138   ; 6,346,491   ; 18.0   ; 5,577   
42 ;Obras Civiles; -   ; -   ; -    ; -   
43 ;Viviendas y Comunidades de Viviendas; 7,188   ; 19,344,057   ; 39.4   ; 2,691   
43 ;Oficinas; 39   ; 944,840   ; 1.9   ; 24,227   
43 ;Comercios ; 1,274   ; 17,818,543   ; 36.4   ; 13,986   
43 ;Industriales; 128   ; 8,701,367   ; 17.8   ; 67,979   
43 ;Vehículos Automóviles; 887   ; 2,193,443   ; 4.5   ; 2,473   
43 ;Obras Civiles; -   ; -   ; -    ; -   
44 ;Viviendas y Comunidades de Viviendas; 7,147   ; 48,425,613   ; 49.4   ; 6,776   
44 ;Oficinas; 23   ; 886,651   ; 0.9   ; 38,550   
44 ;Comercios ; 1,228   ; 20,021,104   ; 20.4   ; 16,304   
44 ;Industriales; 177   ; 16,037,866   ; 16.4   ; 90,609   
44 ;Vehículos Automóviles; 2,205   ; 12,640,787   ; 12.9   ; 5,733   
44 ;Obras Civiles; -   ; -   ; -    ; -   
45 ;Viviendas y Comunidades de Viviendas; 3,442   ; 17,100,326   ; 25.4   ; 4,968   
45 ;Oficinas; 43   ; 579,238   ; 0.9   ; 13,471   
45 ;Comercios ; 549   ; 16,144,722   ; 24.0   ; 29,408   
45 ;Industriales; 228   ; 23,580,270   ; 34.9   ; 103,422   
45 ;Vehículos Automóviles; 1,565   ; 9,664,003   ; 14.4   ; 6,175   
45 ;Obras Civiles; 2   ; 248,332   ; 0.4   ; 124,166   
46 ;Daños personales; 7   ; 169,585   ; 0.0   ; 24,226   
46 ;Viviendas y Comunidades de Viviendas; 230,375   ; 305,770,169   ; 54.2   ; 1,327   
46 ;Oficinas; 698   ; 1,617,222   ; 0.3   ; 2,317   
46 ;Comercios ; 12,929   ; 58,189,199   ; 10.3   ; 4,501   
46 ;Industriales; 14,814   ; 189,199,617   ; 33.6   ; 12,772   
46 ;Vehículos Automóviles; 6,358   ; 7,234,850   ; 1.3   ; 1,138   
46 ;Obras Civiles; 62   ; 1,918,947   ; 0.3   ; 30,951   
47 ;Daños personales;4 ; 128,149   ; 0.2   ; 32,037   
47 ;Viviendas y Comunidades de Viviendas; 7,241   ; 33,559,400   ; 58.7   ; 4,635   
47 ;Oficinas; 28   ; 137,354   ; 0.2   ; 4,906   
47 ;Comercios ; 1,014   ; 7,269,774   ; 12.7   ; 7,169   
47 ;Industriales; 261   ; 8,842,189   ; 15.5   ; 33,878   
47 ;Vehículos Automóviles; 1,871   ; 7,103,234   ; 12.4   ; 3,796   
47 ;Obras Civiles; 3   ; 189,563   ; 0.3   ; 63,188   
48 ;Viviendas y Comunidades de Viviendas; 1,442   ; 8,934,210   ; 21.9   ; 6,196   
48 ;Oficinas; 13   ; 76,957   ; 0.2   ; 5,920   
48 ;Comercios ; 418   ; 4,644,748   ; 11.4   ; 11,112   
48 ;Industriales; 208   ; 12,987,556   ; 31.7   ; 62,440   
48 ;Vehículos Automóviles; 669   ; 2,253,155   ; 5.5   ; 3,368   
48 ;Obras Civiles; 3   ; 11,990,729   ; 29.3   ; 3,996,910   
49 ;Daños personales; 1   ; 11,135   ; 0.0   ; 11,135   
49 ;Viviendas y Comunidades de Viviendas; 33,791   ; 27,386,832   ; 56.0   ; 810   
49 ;Oficinas; 127   ; 175,300   ; 0.4   ; 1,380   
