 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 ARABA/ÁLAVA; 127,475   ; 1,485,226   ; 104,594   ; 672,763   ; 728,241   ; 98,074   ; 387,609   ; 1,028   ; 55,265   ; 6,680,240   ; 1,237,165   ; 331,043   ; 180,349   ; 113,010   ; 2,493,842   ; 335,672   ; 162,720   ; 90,549   ; 981   ; 554,207   ; 369,983   ; 808,898   ; 87,652   ; 94,330   ; 1,345,588   ; 246,401   ; 25,481   
 ALBACETE; 21,878   ; 184,822   ; 345,885   ; 366,631   ; 119,328   ; 12,532   ; 3,352   ; 75,348   ; 431,089   ; 656,976   ; 379,009   ; 94,571   ; 32,119   ; 24,571   ; 1,642,273   ; 68,444   ; 787,050   ; 41,460   ; 1,869,200   ; 1,214,350   ; 876,547   ; 608,974   ; 65,024   ; 104,527   ; 1,561,083   ; 2,715,928   ; 42,366   
 ALACANT/ALICANTE; 74,850   ; 1,846,672   ; 2,688,025   ; 52,162,988   ; 466,085   ; 3,625,116   ; 1,504,815   ; 6,286,717   ; 5,645,377   ; 1,047,089   ; 2,917,277   ; 916,609   ; 1,105,966   ; 85,165,885   ; 11,643,972   ; 21,266,440   ; 3,221,020   ; 1,828,934   ; 7,569,099   ; 3,171,805   ; 1,592,600   ; 4,351,361   ; 5,959,163   ; 16,760,818   ; 2,074,533   ; 213,989,974   ; 10,477,075   
 ALMERÍA; 88,428   ; 112,826   ; 2,428   ; 710,112   ; 9,719   ; 262,032   ; 45,168   ; 371,683   ; 186,404   ; 158,517   ; 203,176   ; 235,000   ; 1,338,446   ; 3,581,572   ; 2,099,007   ; 2,932,829   ; 1,674,444   ; 207,402   ; 76,081,143   ; 869,116   ; 287,359   ; 5,571,766   ; 1,815,288   ; 86,255   ; 1,463,152   ; 10,995,466   ; 105,206   
 ÁVILA; -   ; 43,740   ; 95,681   ; 338,085   ; 15,723   ; 7,100,659   ; 28,633   ; 59,547   ; 1,143   ; 67,542   ; 46,560   ; 16,702   ; 168,706   ; 311,604   ; 202,133   ; 35,292   ; 56,758   ; 8,340   ; 4,667   ; 12,996   ; 30,281   ; 85,671   ; 138,428   ; 281,991   ; 62,481   ; 1,077,258   ; 52,207   
 BADAJOZ; -   ; 624,447   ; 576,068   ; 25,119,980   ; 729,422   ; 202,645   ; 292,428   ; 690,705   ; 34,304   ; 29,455   ; 310,266   ; 20,565   ; 816,668   ; 907,311   ; 442,982   ; 781,102   ; 5,574,051   ; 696,880   ; 385,623   ; 2,934,489   ; 650,570   ; 153,466   ; 162,242   ; 149,945   ; 383,663   ; 68,046   ; 279,837   
 ILLES BALEARS; 2,196,602   ; 448,965   ; 3,373,570   ; 1,810,702   ; 294,869   ; 197,854   ; 1,026,207   ; 6,950,358   ; 3,584,865   ; 3,047,072   ; 2,164,821   ; 1,759,918   ; 1,272,634   ; 3,402,067   ; 3,337,291   ; 4,452,810   ; 5,955,696   ; 1,222,464   ; 2,390,524   ; 3,112,949   ; 1,672,387   ; 4,835,489   ; 6,956,897   ; 4,221,305   ; 18,043,267   ; 3,059,323   ; 6,295,633   
 BARCELONA; 34,764,359   ; 36,426,351   ; 11,590,901   ; 3,348,942   ; 2,318,348   ; 51,659,785   ; 27,739,950   ; 5,578,921   ; 33,982,004   ; 6,735,189   ; 2,939,464   ; 23,456,904   ; 16,723,035   ; 2,468,367   ; 8,715,579   ; 2,045,646   ; 6,661,129   ; 7,983,746   ; 483,074   ; 1,986,612   ; 4,100,793   ; 1,180,510   ; 4,890,550   ; 7,166,226   ; 28,873,607   ; 12,025,242   ; 61,606,249   
 BURGOS; 3,610   ; 892,385   ; 112,442   ; 673,455   ; 1,319,047   ; 1,435,730   ; 55,125   ; 577,174   ; 99,564   ; 2,204,100   ; 105,355   ; 15,739   ; 187,543   ; 481,199   ; 267,505   ; 86,785   ; 757,795   ; 141,962   ; 45,408   ; 279,227   ; 51,755   ; 10,115,932   ; 605,105   ; 47,557   ; 221,472   ; 4,727,143   ; 447,162   
 CÁCERES; 504   ; 130,860   ; 128,695   ; 2,126,924   ; 166,675   ; 39,042   ; 46,341   ; 319,830   ; 406   ; 199,516   ; 192,965   ; 9,184   ; 457,836   ; 95,225   ; 178,454   ; 92,116   ; 2,727,709   ; 111,478   ; 11,259   ; 163,983   ; 61,225   ; 26,492   ; 54,332   ; 204,167   ; 214,585   ; 3,001,845   ; 165,544   
 CÁDIZ; 49,005   ; 3,502,662   ; 14,093,122   ; 2,171,514   ; 108,602   ; 2,014,110   ; 1,728,918   ; 1,530,378   ; 539,561   ; 6,455,682   ; 464,119   ; 733,711   ; 590,782   ; 4,336,392   ; 23,817,742   ; 11,948,104   ; 22,296,037   ; 10,709,625   ; 1,091,883   ; 1,882,708   ; 1,052,121   ; 6,858,853   ; 11,483,990   ; 8,802,586   ; 3,290,612   ; 66,725   ; 458,046   
