 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9,660   ; 4,083   ; -   ; 45,952   ; 220,306   ; -   ; 3,528,079   ; 10,221,826   ; 384,566   ; 22,668   ; 421,495   ; 91,665   ; 30,970   ; 38,409   ; 6,702,182   ; 2,400   ; 542,776   ; 346,796   
 ALBACETE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4,005   ; -   ; 1,439   ; 8,797   ; -   ; 2,781,350   ; 39,906   ; 288,807   ; 2,336,359   ; 2,215,381   ; -   ; -   ; -   ; 1,554   ; -   ; -   ; -   
 ALACANT/ALICANTE; -   ; -   ; -   ; 9,052   ; -   ; -   ; -   ; 26,588   ; -   ; 1,721,983   ; 3,197   ; 69,721   ; -   ; 44,987   ; 226,221   ; 59,522,748   ; 17,077   ; -   ; -   ; -   ; -   ; 225,119   ; -   ; 479,225   ; 9,651   ; 3,192,598   ; 1,970,938   
 ALMERÍA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 102,425   ; -   ; -   ; 48,364   ; -   ; 10,841   ; -   ; -   ; -   ; 892,192   ; -   ; 652,125   ; 1,189,886   ; 381,928   ; 2,111,309   ; -   ; 855,303   ; 2,941,264   ; 1,337,073   ; 973   
 ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 210   ; -   ; 6,259   ; 83,816   ; -   ; -   ; 27,497   ; 10,702   ; 104,141   ; -   ; 21,052   ; -   ; 725,883   ; 129,393   
 BADAJOZ; -   ; -   ; -   ; 2,858,942   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4,455   ; -   ; -   ; 1,095,826   ; 952   ; 70,068   ; 3,188,646   ; -   ; -   ; -   ; 1,196,519   ; 2,091,258   ; 130,713   ; 2,680   
 ILLES BALEARS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 34,269,917   ; -   ; 4,370   ; 1,440,344   ; 4,137   ; 38,357   ; 46,213,803   ; 7,163,439   ; 14,944,261   ; 555,169   ; 12,565   ; 620,369   ; 280,018   ; 135,284   ; 585,569   ; 1,204   ; 1,595,359   ; 992,047   ; 1,993,334   ; 3,830,014   
 BARCELONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 62,645   ; -   ; 15,295,937   ; 33,256   ; 5,802,112   ; 4,867,140   ; 1,915   ; 217,054   ; 158,899,716   ; 104,312   ; 37,367   ; 371,684   ; 521,457   ; 26,179,705   ; 422,407   ; 297,264   ; 460,240   ; 244,182   ; 2,836,511   ; 34,823,501   
 BURGOS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36,045   ; -   ; -   ; 2,111,782   ; 3,594,806   ; 233,834   ; 45,030   ; 1,522,081   ; 369,082   ; 81,776   ; 50,359   ; 7,618,929   ; 30,120   ; 1,727,868   ; 687,001   
 CÁCERES; -   ; -   ; -   ; 120,226   ; -   ; -   ; -   ; -   ; -   ; -   ; 53,964   ; -   ; 14,858   ; -   ; 11,495   ; -   ; 2,136   ; -   ; -   ; 443,292   ; 140,672   ; 6,795   ; -   ; 42,763   ; -   ; 150,078   ; 342,339   
