 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ALBACETE; -   ; -   ; 240   ; -   ; -   ; 128,901   ; -   ; -   ; 1,143   ; -   ; -   ; 7,091   ; -   ; 17,810   ; -   ; -   ; -   ; 11,164   ; -   ; -   ; -   ; 133,312   ; -   ; 75,492   ; -   ; -   ; -   
 ALACANT/ALICANTE; 3,660   ; 10,420   ; 8,339   ; -   ; 24,528   ; 282,588   ; 3,759   ; 6,900   ; -   ; 27,665   ; 2,256   ; 4,892   ; 6,078   ; 19,734   ; 363,994   ; 32,525   ; -   ; 46,376   ; 2,760   ; -   ; -   ; -   ; -   ; -   ; 902   ; 2,364   ; 2,167   
 ALMERÍA; 951,792   ; 5,401   ; 13,137   ; 6,602   ; 22,320   ; 4,008   ; -   ; 3,598   ; 34,750   ; 702   ; 8,334   ; 3,504   ; -   ; 2,768   ; 65,598   ; -   ; 41,650   ; 380,085   ; -   ; -   ; -   ; -   ; 14,918   ; -   ; -   ; -   ; -   
 ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 BADAJOZ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,230   ; 15,058   ; 861   ; -   ; 19,410   ; 1,647   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ILLES BALEARS; 5,661   ; -   ; 1,831   ; -   ; -   ; -   ; -   ; -   ; -   ; 420,653   ; -   ; -   ; -   ; -   ; -   ; -   ; 39,743   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 BARCELONA; 3,463   ; 187,381   ; 23,584   ; -   ; -   ; 1,280   ; -   ; -   ; -   ; -   ; -   ; -   ; 2,080   ; 1,730   ; -   ; -   ; 200   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 BURGOS; -   ; -   ; -   ; 759   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 958   ; -   ; -   
 CÁCERES; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 600   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CÁDIZ; -   ; -   ; 2,011   ; -   ; -   ; -   ; -   ; -   ; -   ; 4,163   ; -   ; -   ; -   ; 6,391   ; 37,613   ; -   ; 2,804   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2,745   ; -   
 CASTELLÓ/CASTELLÓN; -   ; 408   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 106,241   ; -   ; -   ; -   ; -   ; -   
 CIUDAD REAL; -   ; 722   ; 1,165   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 690   ; 1,027,641   ; 910   ; 2,783   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CÓRDOBA; -   ; -   ; 25,326   ; -   ; -   ; -   ; -   ; -   ; -   ; 15,120   ; 17,632   ; -   ; -   ; 28,175   ; -   ; 3,296   ; -   ; 4,233   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 A CORUÑA; 11,989   ; 29,707   ; 21,773   ; 49,551   ; 377   ; 1,788   ; -   ; -   ; -   ; -   ; 2,976   ; -   ; 160,649   ; -   ; -   ; -   ; -   ; 9,534   ; -   ; -   ; -   ; -   ; -   ; -   ; 825   ; -   ; -   
 CUENCA; -   ; -   ; -   ; -   ; 1,973   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2,067   ; 20,385   ; 4,378   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 GIRONA; -   ; -   ; 28,144   ; -   ; -   ; -   ; 1,960   ; -   ; -   ; -   ; 325,874   ; -   ; -   ; 1,796   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,729   ; -   ; -   ; -   ; -   
 GRANADA; 11,900   ; 1,779   ; 2,378   ; 2,058   ; 3,519   ; 328   ; -   ; -   ; -   ; 583   ; -   ; -   ; -   ; 6,984   ; -   ; 605   ; -   ; 2,864   ; 1,074   ; -   ; -   ; -   ; 795   ; -   ; -   ; 1,953   ; 17,809   
 GUADALAJARA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 32,061   ; 1,019   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 GIPUZKOA; 1,029   ; -   ; -   ; 1,410   ; 35,500   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,901   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 HUELVA; 14,755   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13,063   ; 5,447   ; 1,094   ; -   ; 73,725   ; 5,962   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 385   ; -   ; -   ; -   ; -   ; -   ; 972   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 JAÉN; 430   ; -   ; 5,062   ; -   ; -   ; 622   ; -   ; -   ; 162   ; 3,141   ; 658   ; 2,856   ; -   ; 5,786   ; -   ; -   ; 2,914   ; -   ; 32,282   ; 1,767   ; 24,745   ; -   ; -   ; -   ; -   ; -   ; -   
 LEÓN; -   ; 57,974   ; -   ; 151,729   ; 4,234   ; -   ; -   ; -   ; 9,970   ; 4,960   ; -   ; -   ; 17,513   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LLEIDA; -   ; 682   ; 1,587   ; -   ; -   ; 99   ; -   ; -   ; -   ; -   ; -   ; -   ; 927   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LUGO; 2,902   ; 628,237   ; 211,954   ; 1,237,342   ; 22,344   ; 43,490   ; 502   ; 12,886   ; 6,268   ; -   ; 3,018   ; 246   ; 10,455   ; -   ; -   ; -   ; -   ; 17,235   ; -   ; -   ; 940   ; -   ; -   ; -   ; -   ; -   ; -   
 MADRID; -   ; 9,032   ; 9,649   ; -   ; -   ; -   ; 1,403   ; -   ; -   ; -   ; -   ; -   ; -   ; 66,047   ; -   ; -   ; 680   ; 4,423   ; 2,857   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MÁLAGA; 3,446   ; 1,332   ; 96   ; 3,895   ; -   ; 369   ; -   ; -   ; 2,574   ; -   ; 1,533   ; -   ; -   ; 455   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 814   ; -   ; -   
 MURCIA; -   ; 31,277   ; 31,991   ; -   ; 3,012   ; 16,402,558   ; 5,212   ; -   ; 1,368,430   ; 1,681   ; 28,660   ; 8,874,129   ; 17,824   ; -   ; -   ; 26,525   ; 3,118   ; 500,119,138   ; 7,174   ; 3,986   ; -   ; -   ; -   ; -   ; 438   ; -   ; -   
 NAVARRA; -   ; -   ; 53,818   ; -   ; 21,412   ; -   ; -   ; -   ; 381,420   ; -   ; 405,318   ; 178   ; -   ; 2,268   ; -   ; -   ; -   ; 1,211   ; -   ; -   ; -   ; -   ; -   ; 53,617   ; -   ; -   ; 75,697   
 OURENSE; 1,428   ; 37,767   ; 6,560   ; 151,772   ; 11,181   ; -   ; -   ; 1,301   ; -   ; -   ; 14,796   ; -   ; -   ; -   ; -   ; -   ; 1,571   ; 6,835   ; -   ; -   ; -   ; -   ; -   ; 3,447   ; -   ; -   ; -   
 ASTURIAS; 3,408   ; 29,493   ; 494   ; 42,573   ; -   ; -   ; -   ; -   ; -   ; 4,485   ; 424   ; -   ; -   ; -   ; -   ; 625   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LAS PALMAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 51,757   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14,022   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PONTEVEDRA; -   ; 19,009   ; 7,086   ; 44,187   ; 556   ; -   ; -   ; -   ; 4,702   ; -   ; 2,620   ; -   ; 566   ; -   ; -   ; -   ; 3,281   ; -   ; -   ; 5,477   ; -   ; -   ; -   ; -   ; 5,264   ; -   ; -   
